id,author,year,species,time,mean_ab,se_ab1,se_ab2,mean_pr,se_pr1,se_pr2
k1,Lang et al,2021,Acer saccharum,0,100,100,100,100,100,100
k1,Lang et al,2021,Acer saccharum,0.509589,72.77310924,74.11764706,71.2605042,72.77310924,73.94957983,71.76470588
k1,Lang et al,2021,Acer saccharum,0.761644,59.49579832,61.17647059,58.1512605,55.46218487,57.64705882,53.44537815
k1,Lang et al,2021,Acer saccharum,1.66575,38.31932773,42.68907563,34.28571429,32.77310924,34.28571429,31.2605042
k2,Lang et al,2021,Betula alleghaniensis,0,100,100,100,100,100,100
k2,Lang et al,2021,Betula alleghaniensis,0.509589,68.26347305,69.88522954,66.76646707,68.13872255,69.38622754,66.76646707
k2,Lang et al,2021,Betula alleghaniensis,0.761644,55.41417166,57.65968064,53.16866267,52.66966068,54.16666667,50.92315369
k2,Lang et al,2021,Betula alleghaniensis,1.66575,38.19860279,40.69361277,35.45409182,39.07185629,42.06586826,36.32734531
k3,Lang et al,2021,Fraxinus americana,0,100,100,100,100,100,100
k3,Lang et al,2021,Fraxinus americana,0.509589,60.82524272,62.86407767,59.36893204,58.93203883,60.82524272,57.33009709
k3,Lang et al,2021,Fraxinus americana,0.761644,53.10679612,54.70873786,51.7961165,50.77669903,52.08737864,49.02912621
k3,Lang et al,2021,Fraxinus americana,1.66575,42.03883495,45.97087379,38.39805825,34.75728155,36.65048544,32.2815534
k4,Lang et al,2021,Fagus grandifolia,0,100,100,100,100,100,100
k4,Lang et al,2021,Fagus grandifolia,0.509589,84.67153285,86.13138686,83.35766423,81.60583942,82.77372263,80.72992701
k4,Lang et al,2021,Fagus grandifolia,0.761644,72.55474453,75.03649635,70.3649635,70.0729927,72.70072993,67.59124088
k4,Lang et al,2021,Fagus grandifolia,1.66575,55.62043796,57.81021898,53.28467153,52.40875912,55.62043796,49.48905109
k5,Zhu & Ehrenfeld,1996,Pinus rigida,0,100,100,100,100,100,100
k5,Zhu & Ehrenfeld,1996,Pinus rigida,0.500145783,100,102.0261138,98.30724669,97.78801415,100.1872832,94.78892779
k5,Zhu & Ehrenfeld,1996,Pinus rigida,0.835742921,82.23283639,84.0322882,80.19345766,68.7969295,71.4361255,66.39766042
k5,Zhu & Ehrenfeld,1996,Pinus rigida,1.416687201,63.07472699,69.65605539,56.24347473,44.58036112,52.16138497,36.66610545
k5,Zhu & Ehrenfeld,1996,Pinus rigida,2.417244431,30.95735048,33.95643684,28.43811794,19.32089541,22.55990868,15.96191869
k6,Fernandez et al,2020,Quercus ellipsoidalis,0,100,100,100,100,100,100
k6,Fernandez et al,2020,Quercus ellipsoidalis,0.169321285,95.14392228,96.49555376,93.7922908,91.75046452,92.4119012,91.08902783
k6,Fernandez et al,2020,Quercus ellipsoidalis,0.336411812,83.98577303,87.78184442,80.93741267,80.36225034,83.20930388,77.31388998
k6,Fernandez et al,2020,Quercus ellipsoidalis,1.001035363,69.16096392,72.46814733,66.06946638,70.11956781,71.41368305,69.08906863
k7,Fernandez et al,2020,Quercus ellipsoidalis,0,100,100,100,100,100,100
k7,Fernandez et al,2020,Quercus ellipsoidalis,0.167142437,91.08272001,93.24667616,88.60962726,92.62840298,93.86494935,91.28881107
k7,Fernandez et al,2020,Quercus ellipsoidalis,0.333351062,81.13882624,83.19973686,78.90617306,76.93113371,82.42689538,71.69298587
k7,Fernandez et al,2020,Quercus ellipsoidalis,1.003644692,66.5931862,75.00141531,58.12532425,54.18955743,64.50603712,43.9923434
k8,Fernandez et al,2020,Pinus strobus,0,100,100,100,100,100,100
k8,Fernandez et al,2020,Pinus strobus,0.168656823,88.60193119,88.97985425,87.96236908,87.99144008,88.60193119,87.06116792
k8,Fernandez et al,2020,Pinus strobus,0.334213732,86.39253481,87.46816199,85.46226265,81.0143989,81.88652905,80.05505574
k8,Fernandez et al,2020,Pinus strobus,1.001242415,73.72395833,76.25578704,71.26446759,75.17071759,76.61747685,74.01331019
k9,Fernandez et al,2020,Pinus strobus,0,100,100,100,100,100,100
k9,Fernandez et al,2020,Pinus strobus,0.167692551,84.78336827,85.7442348,83.90985325,85.91893781,86.70510133,85.13277428
k9,Fernandez et al,2020,Pinus strobus,0.333412247,79.54227813,81.72606569,77.18378756,80.76519916,84.08455625,77.53319357
k9,Fernandez et al,2020,Pinus strobus,1.000236742,62.94549266,65.56603774,60.5870021,70.02096436,72.46680643,67.7498253
k10,Mayor & Henkel,2006,Dicymbe corymbosa,0,100,100,100,100,100,100
k10,Mayor & Henkel,2006,Dicymbe corymbosa,0.083361012,85.88390212,88.71344829,83.30040344,88.03681769,90.312757,85.6993665
k10,Mayor & Henkel,2006,Dicymbe corymbosa,0.5,63.76038992,66.43896135,61.33692053,61.84712461,64.39814502,59.2961042
k10,Mayor & Henkel,2006,Dicymbe corymbosa,1.000227394,34.71103413,36.85164732,32.86567794,34.85866263,37.88504679,31.90609271
